keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,Here are the links to everything I used on this piece! Supply List: https://amzlink.to/az0HZcv3xvdaC,9053783,868491,8362,9.87,False
upcycle furniture UK,bswESFJ6Xs8,This feels illegal… 🫣🫣 #furnituremakeover #furniturerestoration #paintedfurniture,Grace Holbrook | DIY + FLIPS,2025-07-28,Some pieces deserve more than paint… I had paid $20 for this writing desk from a guy clearing out an,3102609,265355,5083,9.33,False
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,,8188085,447135,1181,7.29,False
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,Copy & paste for list of supplies used https://amzlink.to/az0HIiPXBHRnG My Roman Empire or my first ,3714466,190081,2973,7.17,False
DIY home UK,iluofe-6WvE,can you paint ceiling lights? #diy,mo mahal,2024-10-26,,44407531,1819880,4794,6.47,False
home engraving DIY,t4klesoNObo,Making a block of perfectly clear ice,NileRed,2025-04-23,"Regular ice is usually filled with bubbles, and I think it's really ugly. What I want is some beauti",103915346,4106848,14586,6.39,False
DIY home UK,5o5WBBU9zHQ,PART ONE!!!!! #diyhome #diy #diyproject #frontporch #homediyproject,Kylie Katich,2024-10-03,,64634011,2537408,4939,6.36,False
DIY home UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586481,2717341,36279,6.31,False
DIY craft UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586481,2717341,36279,6.31,False
dremel projects,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1780001,61881,2469,6.25,False
rotary tool DIY,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1780001,61881,2469,6.25,False
upcycle furniture UK,TF_ysN_7FNU,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-07,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,5636398,200472,3173,6.2,False
DIY home UK,DNrgHotJD28,Building a $600 walkway.. Working with Unc..#walkway #pathway #DIY,UncleJhonn,2024-11-15,,53922153,1606730,16573,5.82,False
rotary tool DIY,lvK3p_WcBPA,Fix Annoying Vibration of the PARKSIDE Cordless Rotary Tool PFBS 12 B3,ErCan Everything,2024-04-09,ErCanEverything #Parkside #Tool #Bearing 687 (7 x 14 x 5) Bearing: https://s.click.aliexpress.com/e/,2048143,57904,403,5.72,False
dremel projects,thcFqmnqGEU,"I don&#39;t know what this is, but it looks kinda cool. #woodworking #carpentry #scrapwood #diy #tools",Josh Wright,2024-05-27,WARNING: I AM NOT A TEACHER OR A PROFESSIONAL. LEARN FOR YOURSELF ABOUT PROPER SAFETY TECHNIQUES ...,8124339,225288,2551,5.7,False
cordless DIY tools UK,oT7cp7GeM8Y,Corded Tools are Obsolete!,VCG Construction,2024-11-22,Corded Tools are Obsolete! : #milwaukeetools #CordlessTools #drill #diy #howto Join this channel to ,6076210,168043,1803,5.69,False
