keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,Here are the links to everything I used on this piece! Supply List: https://amzlink.to/az0HZcv3xvdaC,9053816,868492,8362,9.87,False
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,,8188085,447134,1181,7.29,False
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,Copy & paste for list of supplies used https://amzlink.to/az0HIiPXBHRnG My Roman Empire or my first ,3714482,190084,2973,7.17,False
DIY home UK,iluofe-6WvE,can you paint ceiling lights? #diy,mo mahal,2024-10-26,,44407535,1819879,4794,6.47,False
DIY craft UK,n-MbuVcPb_E,"my 7 yr old’s *DREAM* bedroom makeover 🐠🐚🦀 (mermaid, under the sea inspired DIY) #roommakeover",JesssFam,2024-09-30,,42664456,1665266,13389,6.38,False
DIY home UK,5o5WBBU9zHQ,PART ONE!!!!! #diyhome #diy #diyproject #frontporch #homediyproject,Kylie Katich,2024-10-03,,64634011,2537408,4939,6.36,False
DIY craft UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586860,2717355,36279,6.31,False
DIY home UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586860,2717355,36279,6.31,False
dremel projects,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1779992,61881,2469,6.25,False
upcycle furniture UK,TF_ysN_7FNU,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-07,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,5636464,200474,3173,6.2,False
cordless DIY tools UK,CB-IJbxE3X0,Power Tool repairs. #tools #powertools #repairs #deandohertygreaser #dewalt,Dean Doherty,2024-10-25,https://youtu.be/VNSRuzz1uyc #tools #diy #powertools #repair #duh502 #warranty #warrantyrepair #maki,5028447,181251,957,6.19,False
home engraving DIY,W9LoIwy9mPk,"DIY-ing a $98,000 Hermes Kelly on a laser cutter #diy #leather #laserengraving",Makers Workshop,2024-11-16,,3249917,111711,868,6.09,False
DIY home UK,DNrgHotJD28,Building a $600 walkway.. Working with Unc..#walkway #pathway #DIY,UncleJhonn,2024-11-15,,53922338,1606735,16573,5.82,False
cordless DIY tools UK,oT7cp7GeM8Y,Corded Tools are Obsolete!,VCG Construction,2024-11-22,Corded Tools are Obsolete! : #milwaukeetools #CordlessTools #drill #diy #howto Join this channel to ,6076309,168044,1803,5.69,False
upcycle furniture UK,lPssjH6yivk,Nobody Wanted this Hutch 😢 I had an idea...,Christina Muscari,2024-04-13,This video is sponsored by Beyond Paint. Shop Beyond Paint on AMAZON - https://amzlink.to/az0o0VcZLH,2394107,57563,4497,5.67,False
upcycle furniture UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012431,213169,3051,5.64,False
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012431,213169,3051,5.64,False
rotary tool DIY,RBIMFs8LA4o,"Sharp Blades and Smooth Cuts! The EASIEST Way To Sharpen Your Chainsaw Chain Perfectly, Every Time!",Chickanic,2024-01-18,Tired of hand filing your chainsaw chain to end up cutting crooked or not at all? Stop paying repair,3082372,78756,2328,5.62,False
upcycle furniture UK,RS2tYO6for0,UPCYCLING THRIFTED MIRRORS DIY,Furniture Flipping Teacher,2024-08-09,I am always left with so many mirrors when buying furniture to flip! I decided to try my hand at cha,1012770,22715,1165,5.48,False
cordless DIY tools UK,2KLCPusFSpU,The Most MISUNDERSTOOD Feature On Your Drill,LRN2DIY,2024-01-27,"You know I love my drills... here are the ins and outs of your drill clutch- learn what not to do, a",7792066,176474,3029,5.41,False
DIY home UK,bw0Cy2LZLi8,How To Cut Vinyl Tiles (No Measuring) #asmr #diy #shorts,The Home Improvements Channel UK,2024-06-24,,57524081,1338315,3743,5.4,False
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,,24770699,562133,3901,5.38,False
cordless DIY tools UK,f319mJl-Qt0,"The Laser Gun that Welds, Cuts and Removes Rust!!!",Proper DIY - Tools & Effect,2025-05-07,"When things look too good to be true, beware! All The tools and equipment I use: https://www.amazon.",4327911,75317,10865,5.35,False
DIY craft UK,JldNKJL3wXU,Arguably the most affordable DIY tools 📦,West on Willow,2025-04-04,"My #1 DIY rule: before I cut, drill, or spend, I prototype. Cardboard and tape help test size, funct",60621690,1340738,6673,5.34,False
upcycle furniture UK,0w3uqa_Tgxs,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-06,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,1335976,25249,1156,5.24,False
DIY craft UK,hEy7V33ukM0,Survival Skills: Easy Firestarters From Cardboard #survival #lifehacks #camping #outdoors,LastBush Survival,2025-09-25,Find the @oknife Aion at: www.oknife.com Easy survival firestarters made with wax and cardboard. Per,209457339,4174470,8341,5.2,False
DIY home UK,StaVM2PifyA,CUTTING IN LIKE A PRO #paintwarrior #youtube #ytshorts #viral #tips,Paint_warrior,2024-01-25,,47396444,909615,11290,5.18,False
rotary tool DIY,An_9NSpJx_w,I Bought Every HART Tool at Walmart,John Malecki Unscrewed,2025-07-20,Thanks to Tecovas for sponsoring this video! Visit https://tecovas.yt.link/HIAc23l and use code UNSC,2166040,36938,1656,5.11,False
dremel projects,nlsmOoPTjLs,Easy Beginner Woodworking projects that sell for High Profit,JASCOgoods,2024-06-29,In this video I describe how I made more than $15K making easy beginner woodworking projects with ju,1732323,27144,2303,5.1,False
upcycle furniture UK,OLRJIF9qNdY,RUINED Cherry extending table RESTORED,Upcycle Furniture Finds,2025-06-10,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,43786048,760594,5822,5.06,False
rotary tool DIY,msFhiWH3PW8,This Drill is TINY,TITANS of CNC MACHINING,2025-03-28,,50108671,874525,3037,5.05,False
DIY craft UK,3NtnMeMhtDY,DIY Pencil for Kids! ✏️✨ #craft #kids,4 Friends | Kids Stories,2024-12-31,,44568746,756696,0,5.02,False
rotary tool DIY,S9uNZsHqmLs,DC Motors For Making DIY Projects 🔥 #hackerjp #shorts,HACKER JP,2025-09-30,DC Motors For Making DIY Projects #hackerjp #shorts.,5991095,93698,860,4.96,False
rotary tool DIY,wTfQ0Yp5M7Q,New DIY Mini Laser Level Project 🔴 | Perfect Straight Lines for Walls and Ceilings,Rodaolok ,2025-09-01,I built a DIY mini laser level ✨  . It's the perfect tool for creating perfectly straight lines on w,135832559,2124012,7985,4.95,False
DIY craft UK,2xQQqVC1P9M,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival,Local Hands,2024-07-13,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival.,206286125,3054040,5111,4.89,False
DIY home UK,9N25hsDUlqE,HOW TO CUT VINYL FLOORING (Toilet WC) #diy #vinyl #howto #shorts,The Home Improvements Channel UK,2025-02-04,,57665326,833939,3803,4.88,False
cordless DIY tools UK,oCv6hQr9a64,Nail Gun High Efficiency High Preference Tools #tools #diycraft #diy #shortsfeed #shorts,Hardware Tools Official,2024-04-07,hardware tools official .video by hardware tools official. Hardware tools encompass a wide range of ,15307262,215645,901,4.85,False
upcycle furniture UK,qlnw3bQ1fdI,ROTTEN table RESTORED - A spiders graveyard,Upcycle Furniture Finds,2025-03-22,I restored an old rotten table I found on Facebook marketplace. I picked this console table up on Fa,1958011,22596,992,4.75,False
DIY home UK,g7p7VnuHucQ,Easy way to fix rotten trim boards. #remodel #construction #contractor #diy #carpenter,CR Carpentry & Remodeling ,2025-07-04,,85993170,1051104,8732,4.75,False
upcycle furniture UK,TCuQmC5GWd0,Extending table RESTORATION | Veneered or solid?,Upcycle Furniture Finds,2025-06-07,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,1063343,12063,561,4.74,False
home engraving DIY,Bw88JBtQ_4M,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Tamil,2026-03-21,Engraving Machine -https://amzn.openinapp.co/ba65r #EngravingMachine #DIYTools #MadeInBharat #CraftT,2521008,28286,132,4.68,False
home engraving DIY,HYz0ipzEnWE,Homemade PCB circuit board using ComMarkerB4 laser engraving machine  #laserengraving r#pcb,ComMarker Official,2024-06-07,Welcome friends who are interested in truly industrial-grade smart fiber laser machines. Come and jo,951175,11748,188,4.57,False
dremel projects,1nWtOymGxvQ,There Are MILLIONS to be made from this Business...,Barndo Boy,2024-12-26,"In this video, i show you how to make a phone holder! but its not just a phone holder, its a audio a",2063645,19030,0,4.55,False
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,Want to strip paint fast and effortlessly? This paint stripping hack will save you HOURS of work! Th,5488485,42605,450,4.48,False
home engraving DIY,b8TYpuc17kA,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Hindi,2026-04-10,Engraving Machine - https://amzn.openinapp.co/ai946 #EngravingMachine #DIYTools #MadeInBharat #Craft,45575726,353552,364,4.47,False
rotary tool DIY,X5xjTYz4Kb4,Save time and money with the SharpTool2.0!,SharpTools,2025-10-14,Multitool blade sharpener! #multitool #sharpening #tools #diy.,30906099,212756,1587,4.42,False
home engraving DIY,9EXqGoe_uOQ,How to make a DIY pyrography pen at home! 🔥✏️ #shorts #diy #diylifehacks #woodworking #foryou,MetDaan DIY Shorts,2024-07-29,viral #shorts #shortsfeed #shortsvideo #shortsviral #shortsyoutube #viralyoutubeshorts #viralyoutube,2132250,14883,18,4.42,False
cordless DIY tools UK,GC50yqGlzKA,Using the ​⁠@festool-canada  CSC SYS 50 to cut some big walnut tenons for the table base,The Dusty Lumber Co,2025-10-07,,13372274,92714,467,4.42,False
rotary tool DIY,QF87aKhf8yg,Ingenious method to sharpen a knife to razor sharp yourself #shorts #diy #tips #knifeskills,Simple Creative,2025-04-02,Ingenious method to sharpen a knife to razor sharp yourself! DIY equipment. Knife sharpening tips an,37660731,234438,604,4.38,False
dremel projects,w--o-dhHpDo,You WILL NOT BELIEVE IT!!! But even from this rotten thing you can make a MASTERPIECE. DIY,Makar Wood,2024-10-04,"Hi all!!! Recently, while walking in the forest, I found an interesting rotten place.At first I coul",2251010,13113,640,4.38,False
DIY craft UK,97CKtOcn7BU,try this magic 😜 #shorts #trendingshorts #viralshorts #craft #papercraft #diy,Girl Crafts Room,2025-07-24,try this magic #diy #shorts #trendingshorts #viralshorts #craft #papercraft @GirlCraftsRoom12 #girlc,113085213,651672,0,4.35,False
DIY craft UK,AxfayDThoV4,Squid Game 2 emojis 🦑💜 #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts,Oyuncak Şehri Tv,2025-03-25,Squid Game 2 emojis #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts ▻ foll,85541940,401532,916,4.28,False
dremel projects,PfJan3cLvYo,wood turning project that consistently sells everywhere I go,Rc Woodturning,2024-05-05,consistent seller everywhere. This is a wood turning project that sells at every craft show I go to.,4407972,15415,1336,4.25,False
cordless DIY tools UK,eojlZ79nj6Y,Makita Vs BOSCH #automobile #automotivetools #tools #tools4life #powertools,MyTools,2025-06-11,,196988408,454024,6087,4.14,False
cordless DIY tools UK,FE3IM7vCDQs,Protect Your Cordless Drill! A Trick with a Bottle #shorts #tools,Handy Space,2025-08-02,Protect Your Cordless Drill! A Trick with a Bottle Join us as a sponsor and unlock exclusive benefit,28413764,48138,209,4.1,False
rotary tool DIY,M1VpJ52OKJA,DIY Rotary Log Splitter – Hardwood Becomes Kindling in Seconds 🔥,Clever solution,2026-05-04,Watch a man attach a homemade spinning drill bit or screw‑cone splitter to a power drill. He jams a ,8409132,10497,4,4.07,False
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,Here's everything I used for this project : https://urlgeni.us/amzn/msIJJ *please note I am a Dixieb,3915395,0,1820,4.06,False
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,"Ever look at those cube organizers and think, ""There's gotta be more to them than just storage?"" Wel",2969500,0,468,4.02,False
dremel projects,fx9DPl25f0w,"First Look at Dremel&#39;s New Blueprint Tools: Compact, Versatile, and Perfect for Your Projects!",Dremel,2025-08-26,Excited to share a sneak peek at Dremel's new Blueprint tool line! These compact and versatile tools,1426890,22,0,4.0,True
home engraving DIY,X94rkrcgZvo,New Epoxy Resin Art Ideas that you can try at home #resinartideas #resin #diy,ArtsHabits,2025-01-11,,636834,13353,157,3.83,False
home engraving DIY,RT5xloMo828,What a Cheapest Laser Can Do? (only $99) - Sculpfun C1 Mini Laser  #sculpfun #diy #cheapest,SCULPFUN,2025-06-06,The SCULPFUN C1 Mini Portable Laser Engraver is officially available – for just $99! Our most compac,786950,5404,158,3.58,False
home engraving DIY,Cfphq1U5bTE,I Tested 30+ Lasers - Just Buy This One in 2026,Make or Break Shop,2025-10-24,The Laser Comparison Chart - https://machinesformakers.com/go/yt-Cfphq1U5bTE-desc1-comparison-chart-,328027,4289,300,2.21,False
