keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,Here are the links to everything I used on this piece! Supply List: https://amzlink.to/az0HZcv3xvdaC,9053761,868491,8362,9.87,False
upcycle furniture UK,bswESFJ6Xs8,This feels illegal… 🫣🫣 #furnituremakeover #furniturerestoration #paintedfurniture,Grace Holbrook | DIY + FLIPS,2025-07-28,Some pieces deserve more than paint… I had paid $20 for this writing desk from a guy clearing out an,3102609,265355,5083,9.33,False
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,,8188085,447135,1181,7.29,False
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,Copy & paste for list of supplies used https://amzlink.to/az0HIiPXBHRnG My Roman Empire or my first ,3714455,190081,2973,7.17,False
DIY home UK,iluofe-6WvE,can you paint ceiling lights? #diy,mo mahal,2024-10-26,,44407527,1819880,4794,6.47,False
home engraving DIY,t4klesoNObo,Making a block of perfectly clear ice,NileRed,2025-04-23,"Regular ice is usually filled with bubbles, and I think it's really ugly. What I want is some beauti",103915266,4106846,14586,6.39,False
DIY craft UK,n-MbuVcPb_E,"my 7 yr old’s *DREAM* bedroom makeover 🐠🐚🦀 (mermaid, under the sea inspired DIY) #roommakeover",JesssFam,2024-09-30,,42664385,1665267,13389,6.38,False
DIY home UK,5o5WBBU9zHQ,PART ONE!!!!! #diyhome #diy #diyproject #frontporch #homediyproject,Kylie Katich,2024-10-03,,64634011,2537408,4939,6.36,False
DIY craft UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586221,2717336,36279,6.31,False
DIY home UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586221,2717336,36279,6.31,False
dremel projects,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1779992,61881,2469,6.25,False
upcycle furniture UK,TF_ysN_7FNU,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-07,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,5636344,200471,3173,6.2,False
cordless DIY tools UK,CB-IJbxE3X0,Power Tool repairs. #tools #powertools #repairs #deandohertygreaser #dewalt,Dean Doherty,2024-10-25,https://youtu.be/VNSRuzz1uyc #tools #diy #powertools #repair #duh502 #warranty #warrantyrepair #maki,5028447,181251,957,6.19,False
DIY home UK,DNrgHotJD28,Building a $600 walkway.. Working with Unc..#walkway #pathway #DIY,UncleJhonn,2024-11-15,,53921960,1606727,16573,5.82,False
dremel projects,thcFqmnqGEU,"I don&#39;t know what this is, but it looks kinda cool. #woodworking #carpentry #scrapwood #diy #tools",Josh Wright,2024-05-27,WARNING: I AM NOT A TEACHER OR A PROFESSIONAL. LEARN FOR YOURSELF ABOUT PROPER SAFETY TECHNIQUES ...,8124339,225288,2551,5.7,False
cordless DIY tools UK,oT7cp7GeM8Y,Corded Tools are Obsolete!,VCG Construction,2024-11-22,Corded Tools are Obsolete! : #milwaukeetools #CordlessTools #drill #diy #howto Join this channel to ,6076200,168043,1803,5.69,False
upcycle furniture UK,lPssjH6yivk,Nobody Wanted this Hutch 😢 I had an idea...,Christina Muscari,2024-04-13,This video is sponsored by Beyond Paint. Shop Beyond Paint on AMAZON - https://amzlink.to/az0o0VcZLH,2394107,57563,4497,5.67,False
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012372,213165,3051,5.64,False
upcycle furniture UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012372,213165,3051,5.64,False
rotary tool DIY,RBIMFs8LA4o,"Sharp Blades and Smooth Cuts! The EASIEST Way To Sharpen Your Chainsaw Chain Perfectly, Every Time!",Chickanic,2024-01-18,Tired of hand filing your chainsaw chain to end up cutting crooked or not at all? Stop paying repair,3082348,78756,2328,5.62,False
home engraving DIY,Ws9V7KuKpuE,DIY soap bar🧼🤍 #asmr #soapmaking #DIY #DIYsoap #organized #satisfying #organizedhome #giftidea,Yeva Berez,2025-06-04,,24651827,582179,2105,5.43,False
cordless DIY tools UK,2KLCPusFSpU,The Most MISUNDERSTOOD Feature On Your Drill,LRN2DIY,2024-01-27,"You know I love my drills... here are the ins and outs of your drill clutch- learn what not to do, a",7792031,176473,3029,5.41,False
DIY home UK,bw0Cy2LZLi8,How To Cut Vinyl Tiles (No Measuring) #asmr #diy #shorts,The Home Improvements Channel UK,2024-06-24,,57524081,1338315,3743,5.4,False
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,,24770672,562132,3901,5.38,False
cordless DIY tools UK,f319mJl-Qt0,"The Laser Gun that Welds, Cuts and Removes Rust!!!",Proper DIY - Tools & Effect,2025-05-07,"When things look too good to be true, beware! All The tools and equipment I use: https://www.amazon.",4327959,75318,10865,5.35,False
DIY craft UK,JldNKJL3wXU,Arguably the most affordable DIY tools 📦,West on Willow,2025-04-04,"My #1 DIY rule: before I cut, drill, or spend, I prototype. Cardboard and tape help test size, funct",60621677,1340737,6673,5.34,False
home engraving DIY,03QRmR1PTNg,Custom Metal Card | Upgrade Plastic Cards into Metal Cards  #cryptocurrency  #crypto #bitcoin,CarbonCraft,2025-06-25,"Welcome to CarbonCraft! At CarbonCraft, we transform ordinary plastic cards into luxurious, premium ",22738868,496549,1712,5.32,False
upcycle furniture UK,0w3uqa_Tgxs,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-06,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,1335892,25249,1156,5.24,False
DIY craft UK,hEy7V33ukM0,Survival Skills: Easy Firestarters From Cardboard #survival #lifehacks #camping #outdoors,LastBush Survival,2025-09-25,Find the @oknife Aion at: www.oknife.com Easy survival firestarters made with wax and cardboard. Per,209455042,4174407,8341,5.2,False
DIY home UK,StaVM2PifyA,CUTTING IN LIKE A PRO #paintwarrior #youtube #ytshorts #viral #tips,Paint_warrior,2024-01-25,,47396112,909613,11290,5.18,False
upcycle furniture UK,OLRJIF9qNdY,RUINED Cherry extending table RESTORED,Upcycle Furniture Finds,2025-06-10,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,43782790,760560,5822,5.06,False
rotary tool DIY,msFhiWH3PW8,This Drill is TINY,TITANS of CNC MACHINING,2025-03-28,,50108395,874522,3037,5.05,False
DIY craft UK,3NtnMeMhtDY,DIY Pencil for Kids! ✏️✨ #craft #kids,4 Friends | Kids Stories,2024-12-31,,44568746,756696,0,5.02,False
rotary tool DIY,S9uNZsHqmLs,DC Motors For Making DIY Projects 🔥 #hackerjp #shorts,HACKER JP,2025-09-30,DC Motors For Making DIY Projects #hackerjp #shorts.,5990706,93693,860,4.96,False
rotary tool DIY,wTfQ0Yp5M7Q,New DIY Mini Laser Level Project 🔴 | Perfect Straight Lines for Walls and Ceilings,Rodaolok ,2025-09-01,I built a DIY mini laser level ✨  . It's the perfect tool for creating perfectly straight lines on w,135832322,2124008,7985,4.95,False
DIY craft UK,2xQQqVC1P9M,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival,Local Hands,2024-07-13,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival.,206286117,3054040,5111,4.89,False
DIY home UK,9N25hsDUlqE,HOW TO CUT VINYL FLOORING (Toilet WC) #diy #vinyl #howto #shorts,The Home Improvements Channel UK,2025-02-04,,57665326,833939,3803,4.88,False
cordless DIY tools UK,oCv6hQr9a64,Nail Gun High Efficiency High Preference Tools #tools #diycraft #diy #shortsfeed #shorts,Hardware Tools Official,2024-04-07,hardware tools official .video by hardware tools official. Hardware tools encompass a wide range of ,15307209,215645,901,4.85,False
dremel projects,FDqpUe3iGX0,This 15 degree Freud chamfer bit adds a nice touch to projects #freudtoolsambassador #woodworking,The Dusty Lumber Co,2024-06-06,,3126038,40401,262,4.79,False
home engraving DIY,W_lHxcXwtXI,leaves #production process #laser engraving #leaf engraving machine #entrepreneurship,Leaf Carving Machine,2024-10-14,,10975352,142908,258,4.78,False
DIY home UK,g7p7VnuHucQ,Easy way to fix rotten trim boards. #remodel #construction #contractor #diy #carpenter,CR Carpentry & Remodeling ,2025-07-04,,85992294,1051094,8732,4.75,False
