url,title,tag,text
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Have a small space you'd like to illuminate?
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Upcycle PVC pipes into column lights to add a soft glow to any space.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Mark the area that you would like to cut away.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,We used tape to mark the area so as not to leave behind any marker on our lamps.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"For the ""V-shaped"" design, start your cut by making a plunge cut at the bottom using the Dremel 4200 Multi-Tool and the Multi-Purpose Cutting Bit 561."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"Set your tool to high speed and with your tool at a 90 degree angle, plunge straight into the PVC."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Tilt the tool side-to-side to widen the cut area just slightly.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"Make the long running cuts up both sides of the ""V"" with an SC476 Plastic Cutting Wheel."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,For this accessory change mount the SC476 accessory onto your EZ SpeedClic Mandrel.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"Set the tool to high speed, and cut along your marked line of cut."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Remember to let the speed of the tool do the work and do not bear down on your accessory.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"Clean up the edges of your cuts and give the top of your columns a soft, rounded edge using an SC407 Sanding Drum equipped with a 408 Sanding Band."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Notch a small opening for the cord of your spotlight to run through to ensure your column will sit flush against the floor with the SC407 Drum and the 408 Sanding Band.
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,Insert your spotlight and your project is complete!
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,p,"For the latest news, inspiration and tips, sign up to our newsletter."
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,li,"EZ544 EZ Lock™ 1-1/2"" Cutting/Shaping Wheel"
https://www.dremel.com/us/en/projects/project-plans/pvc-lights,PVC lights | Dremel,li,Single Spotlight (circumference smaller than the PVC Pipe)
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,"Justin Brooker is the owner and operator of Machina Designs, specialising in timeless and one off engraving pieces for almost every industry imaginable."
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,"He first brought a Dremel 4000 8 years ago, which he still uses till this date."
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,Want to learn more about Justin and the hand engraving work he does?
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,Take a look at these videos to get to know Justin better.
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,He tells you tips on the types of material to use and best techniques to achieve intricate and personal engraved projects
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,To recreate a design on a curved surface simply place the artwork inside the mug and trace on the outside of the glass.
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,Make sure to use diamond tipped engraving points to achieve a smooth finish.
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,Take a look at some of the engravings Justin has completed and get some inspiration for your own projects!
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,"Experience even more precision and manoeuvrability, even in hard-to-reach places."
https://www.dremel.com/us/en/projects/makers/justin-brooker,Maker: Justin Brooker | Dremel,p,Meet Emmanuel who runs the Youtube channel called “MagicManu”!
