keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,Here are the links to everything I used on this piece! Supply List: https://amzlink.to/az0HZcv3xvdaC,9053816,868492,8362,9.87,False
upcycle furniture UK,bswESFJ6Xs8,This feels illegal… 🫣🫣 #furnituremakeover #furniturerestoration #paintedfurniture,Grace Holbrook | DIY + FLIPS,2025-07-28,Some pieces deserve more than paint… I had paid $20 for this writing desk from a guy clearing out an,3102609,265355,5083,9.33,False
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,,8188085,447134,1181,7.29,False
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,Copy & paste for list of supplies used https://amzlink.to/az0HIiPXBHRnG My Roman Empire or my first ,3714485,190084,2973,7.17,False
DIY home UK,iluofe-6WvE,can you paint ceiling lights? #diy,mo mahal,2024-10-26,,44407535,1819879,4794,6.47,False
DIY home UK,5o5WBBU9zHQ,PART ONE!!!!! #diyhome #diy #diyproject #frontporch #homediyproject,Kylie Katich,2024-10-03,,64634011,2537408,4939,6.36,False
DIY home UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,,72586991,2717359,36279,6.31,False
dremel projects,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1779992,61881,2469,6.25,False
upcycle furniture UK,TF_ysN_7FNU,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-07,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,5636485,200476,3173,6.2,False
DIY home UK,DNrgHotJD28,Building a $600 walkway.. Working with Unc..#walkway #pathway #DIY,UncleJhonn,2024-11-15,,53922394,1606737,16576,5.82,False
dremel projects,thcFqmnqGEU,"I don&#39;t know what this is, but it looks kinda cool. #woodworking #carpentry #scrapwood #diy #tools",Josh Wright,2024-05-27,WARNING: I AM NOT A TEACHER OR A PROFESSIONAL. LEARN FOR YOURSELF ABOUT PROPER SAFETY TECHNIQUES ...,8124339,225288,2551,5.7,False
cordless DIY tools UK,oT7cp7GeM8Y,Corded Tools are Obsolete!,VCG Construction,2024-11-22,Corded Tools are Obsolete! : #milwaukeetools #CordlessTools #drill #diy #howto Join this channel to ,6076321,168045,1803,5.69,False
upcycle furniture UK,lPssjH6yivk,Nobody Wanted this Hutch 😢 I had an idea...,Christina Muscari,2024-04-13,This video is sponsored by Beyond Paint. Shop Beyond Paint on AMAZON - https://amzlink.to/az0o0VcZLH,2394107,57563,4497,5.67,False
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012436,213169,3051,5.64,False
upcycle furniture UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012436,213169,3051,5.64,False
rotary tool DIY,RBIMFs8LA4o,"Sharp Blades and Smooth Cuts! The EASIEST Way To Sharpen Your Chainsaw Chain Perfectly, Every Time!",Chickanic,2024-01-18,Tired of hand filing your chainsaw chain to end up cutting crooked or not at all? Stop paying repair,3082374,78756,2328,5.62,False
cordless DIY tools UK,2KLCPusFSpU,The Most MISUNDERSTOOD Feature On Your Drill,LRN2DIY,2024-01-27,"You know I love my drills... here are the ins and outs of your drill clutch- learn what not to do, a",7792072,176474,3029,5.41,False
DIY home UK,bw0Cy2LZLi8,How To Cut Vinyl Tiles (No Measuring) #asmr #diy #shorts,The Home Improvements Channel UK,2024-06-24,,57524081,1338315,3743,5.4,False
DIY craft UK,wziwVGlS0UI,Easy Paper Craft Ideas! Home decor Paper Flowers,VIKI Studio Origami ,2024-08-28,Amazing Paper Flowers DIY Paper Craft Ideas Tutorial #papercraft #diy #foryou #f #usa #paper.,9396105,216609,439,5.39,False
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,,24770702,562134,3901,5.38,False
DIY craft UK,Wl7teXBWziU,I Made the VIRAL COTTONPAD FLOWER! 😱🌹🌸 *Easy DIY Craft*,It’Sarah 💜,2024-12-02,"I Made the VIRAL COTTONPAD FLOWER! *Easy DIY Crafts at Home* In this YouTube shorts, I show how to m",4189057,93775,798,5.37,False
cordless DIY tools UK,f319mJl-Qt0,"The Laser Gun that Welds, Cuts and Removes Rust!!!",Proper DIY - Tools & Effect,2025-05-07,"When things look too good to be true, beware! All The tools and equipment I use: https://www.amazon.",4327995,75318,10866,5.35,False
upcycle furniture UK,0w3uqa_Tgxs,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-06,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,1335979,25249,1156,5.24,False
DIY home UK,StaVM2PifyA,CUTTING IN LIKE A PRO #paintwarrior #youtube #ytshorts #viral #tips,Paint_warrior,2024-01-25,,47396503,909615,11290,5.18,False
DIY craft UK,jbBUX9brlio,WoW! ❄️ Easy Paper Christmas Decorations 2024,VIKI Studio Origami ,2024-10-03,How to make Easy Christmas Paper Snowflakes Christmas Paper Crafts Christmas Decorations Buy me a CO,5132472,95066,323,5.12,False
DIY craft UK,kVAuh4msADw,Try it 😆 #shorts #tonniartandcraft #art #craft #love,Tonni art and craft,2024-11-15,,9886859,179366,539,5.1,False
upcycle furniture UK,OLRJIF9qNdY,RUINED Cherry extending table RESTORED,Upcycle Furniture Finds,2025-06-10,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,43786542,760617,5822,5.06,False
rotary tool DIY,msFhiWH3PW8,This Drill is TINY,TITANS of CNC MACHINING,2025-03-28,,50108740,874525,3037,5.05,False
rotary tool DIY,S9uNZsHqmLs,DC Motors For Making DIY Projects 🔥 #hackerjp #shorts,HACKER JP,2025-09-30,DC Motors For Making DIY Projects #hackerjp #shorts.,5991175,93698,860,4.96,False
rotary tool DIY,wTfQ0Yp5M7Q,New DIY Mini Laser Level Project 🔴 | Perfect Straight Lines for Walls and Ceilings,Rodaolok ,2025-09-01,I built a DIY mini laser level ✨  . It's the perfect tool for creating perfectly straight lines on w,135832611,2124012,7985,4.95,False
DIY home UK,9N25hsDUlqE,HOW TO CUT VINYL FLOORING (Toilet WC) #diy #vinyl #howto #shorts,The Home Improvements Channel UK,2025-02-04,,57665326,833939,3803,4.88,False
cordless DIY tools UK,oCv6hQr9a64,Nail Gun High Efficiency High Preference Tools #tools #diycraft #diy #shortsfeed #shorts,Hardware Tools Official,2024-04-07,hardware tools official .video by hardware tools official. Hardware tools encompass a wide range of ,15307283,215645,901,4.85,False
dremel projects,FDqpUe3iGX0,This 15 degree Freud chamfer bit adds a nice touch to projects #freudtoolsambassador #woodworking,The Dusty Lumber Co,2024-06-06,,3126038,40401,262,4.79,False
DIY home UK,g7p7VnuHucQ,Easy way to fix rotten trim boards. #remodel #construction #contractor #diy #carpenter,CR Carpentry & Remodeling ,2025-07-04,,85993356,1051105,8732,4.75,False
upcycle furniture UK,qlnw3bQ1fdI,ROTTEN table RESTORED - A spiders graveyard,Upcycle Furniture Finds,2025-03-22,I restored an old rotten table I found on Facebook marketplace. I picked this console table up on Fa,1958011,22596,992,4.75,False
upcycle furniture UK,TCuQmC5GWd0,Extending table RESTORATION | Veneered or solid?,Upcycle Furniture Finds,2025-06-07,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,1063343,12063,561,4.74,False
dremel projects,ScLfDtCsebs,"Don&#39;t buy it, build it. 🤯",Dremel,2025-12-03,"Yes, you CAN build your own floating shelves! And it's easier than you think. You just need the righ",5967983,71540,575,4.73,True
home engraving DIY,Bw88JBtQ_4M,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Tamil,2026-03-21,Engraving Machine -https://amzn.openinapp.co/ba65r #EngravingMachine #DIYTools #MadeInBharat #CraftT,2521189,28291,132,4.68,False
DIY craft UK,eSLlOO-GXhw,Cute card for Fathers Day 💙 Cricut craft channel UK gift idea #cricut #cricutuk #diycrafts,Rona | Making The Cute Life,2024-05-16,,1855527,14908,1556,4.58,False
dremel projects,1nWtOymGxvQ,There Are MILLIONS to be made from this Business...,Barndo Boy,2024-12-26,"In this video, i show you how to make a phone holder! but its not just a phone holder, its a audio a",2063645,19030,0,4.55,False
rotary tool DIY,BKTwBLAo-ow,https://amzn.to/4m8SdNz These things are sweet. #cardboard #multitool #tools #dewalt #recycle,Watch Ben Build,2025-09-11,,7788092,59217,2089,4.49,False
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,Want to strip paint fast and effortlessly? This paint stripping hack will save you HOURS of work! Th,5488492,42605,450,4.48,False
cordless DIY tools UK,GC50yqGlzKA,Using the ​⁠@festool-canada  CSC SYS 50 to cut some big walnut tenons for the table base,The Dusty Lumber Co,2025-10-07,,13372324,92716,467,4.42,False
DIY craft UK,PnjBJWUIZfQ,You Won’t Believe These DIY Crafts Exist! 🤯 #HandmadeCrafts,Craft Ideas,2025-10-11,"These are not ordinary crafts — they're next level handmade DIY projects! Stunning results, high-end",20904840,145185,308,4.42,False
rotary tool DIY,X5xjTYz4Kb4,Save time and money with the SharpTool2.0!,SharpTools,2025-10-14,Multitool blade sharpener! #multitool #sharpening #tools #diy.,30906291,212755,1587,4.42,False
home engraving DIY,aw1FCXU2s2Y,Laser Engraving Projects ~ xTool Laser Engravers ~ Small Business Idea ~ Laser Engraver Business,White Cottage Company,2024-11-18,"In this video, I go over some of the projects we have been working on using our xTool laser engraver",47383,3183,76,4.41,False
rotary tool DIY,QF87aKhf8yg,Ingenious method to sharpen a knife to razor sharp yourself #shorts #diy #tips #knifeskills,Simple Creative,2025-04-02,Ingenious method to sharpen a knife to razor sharp yourself! DIY equipment. Knife sharpening tips an,37660729,234438,604,4.38,False
dremel projects,w--o-dhHpDo,You WILL NOT BELIEVE IT!!! But even from this rotten thing you can make a MASTERPIECE. DIY,Makar Wood,2024-10-04,"Hi all!!! Recently, while walking in the forest, I found an interesting rotten place.At first I coul",2251032,13114,640,4.38,False
dremel projects,RR3pNcaFKCM,Turn Your Jigsaw Into a Mini Bandsaw 👍 Genius DIY Tool Hack,ToolerHacks,2025-10-09,Want a bandsaw but only have a jigsaw? Here's a simple DIY trick to turn your jigsaw into a mini ver,31763424,187272,1762,4.36,False
dremel projects,PfJan3cLvYo,wood turning project that consistently sells everywhere I go,Rc Woodturning,2024-05-05,consistent seller everywhere. This is a wood turning project that sells at every craft show I go to.,4407972,15415,1336,4.25,False
cordless DIY tools UK,eojlZ79nj6Y,Makita Vs BOSCH #automobile #automotivetools #tools #tools4life #powertools,MyTools,2025-06-11,,196988543,454025,6087,4.14,False
cordless DIY tools UK,FE3IM7vCDQs,Protect Your Cordless Drill! A Trick with a Bottle #shorts #tools,Handy Space,2025-08-02,Protect Your Cordless Drill! A Trick with a Bottle Join us as a sponsor and unlock exclusive benefit,28413764,48138,209,4.1,False
rotary tool DIY,M1VpJ52OKJA,DIY Rotary Log Splitter – Hardwood Becomes Kindling in Seconds 🔥,Clever solution,2026-05-04,Watch a man attach a homemade spinning drill bit or screw‑cone splitter to a power drill. He jams a ,8410652,10499,4,4.07,False
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,Here's everything I used for this project : https://urlgeni.us/amzn/msIJJ *please note I am a Dixieb,3915395,0,1820,4.06,False
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,"Ever look at those cube organizers and think, ""There's gotta be more to them than just storage?"" Wel",2969506,0,468,4.02,False
cordless DIY tools UK,XLMqL7ieY90,"STIHL MSA 300, the best present under the tree? #stihlchainsaw #stihl #diy #tools #stihlmsa300",P&P Small Engines,2024-12-05,,9291650,0,1093,4.01,False
home engraving DIY,X94rkrcgZvo,New Epoxy Resin Art Ideas that you can try at home #resinartideas #resin #diy,ArtsHabits,2025-01-11,,636834,13353,157,3.83,False
home engraving DIY,IvWCD9sYEJ4,DIY Cut Glass Bottle at Home Easily / No any tools 😱 #diy #craft #yt #glassbottles #shorts #ytshorts,Creative 1ta,2025-04-22,DIY Cut Glass Bottle at Home Easily / No any tools @CrafterAditi @Miss.Hosiyar @itspriyanjalisingh @,725544,4420,24,3.27,False
DIY craft UK,hq9aRETzjKs,I Tried DIY in America... and I Was Not Ready for This!,The DIY Guy,2026-05-23,"In this video, I'm comparing the DIY culture between America and the UK, starting with a visit to th",327322,6071,741,2.69,False
DIY craft UK,bd9YW3nk58U,"WHO&#39;S WHO made of cardboard, Make it yourself! #DIY #crafts #kids #children",Milo - Official Channel,2024-10-13,"Play with Milo and his friends using these fantastic plush toys, vehicles figures and more!",229937,4184,0,2.01,False
home engraving DIY,hIbCkNXdSpo,"Dremel gravieren, schleifen &amp; fräsen #heimwerken #dremel",Hausbauen24,2024-09-21,"Wie nutze ich den Dremel richtig? Wichtigste Bits zum gravieren, schleifen und fräsen leicht erklärt",196700,2815,59,1.68,False
home engraving DIY,Q-81ufz8dZM,Cheap $259 Laser Engraver #Woodworking #CNC #DIY #DIYProjects #Laser #Tools #Design #Mecpow #Amazon,Vivid Hardwoods,2024-06-16,Mecpow X3 Pro Laser engraver available on Amazon.com for $259.99 in USA as of May 2025.,240698,1638,55,1.4,False
home engraving DIY,rtvMKdQr_cI,Discover the Magic of 3D Laser Engraved Crystal Ball Lamps | Unique Home Decor &amp; Gifts | Angroos,Angroos Gifts Boutique,2024-07-11,Welcome to Angroos! Presenting our enchanting collection of 3D Laser Engraved Crystal Ball Lamps. Th,179785,1934,24,1.38,False
home engraving DIY,IY00ZMdydVg,The Ultimate Tumbler Engraving Guide | xTool Rotary,First Day of Home,2024-06-19,Learn how to engrave tumblers that look good enough to sell on Etsy in this complete RA2 Pro (Rotary,45341,441,50,0.9,False
